id,name,address,lat,lng,disabled,diaper,hours,male_toilet,male_urinal,female_toilet,emergency_bell,cctv,data_date
pd-3941,IBK기업은행 발안산단지점,경기도 화성시 만세구 향남읍 발안공단로2길 38 (하길리),37.08703156,126.9118585,false,true,11시간,4,4,6,false,false,2024-01-29
pd-3942,농협정건설빌딩,"경기도 화성시 만세구 향남읍 발안로 101 (행정리, 정 메디 프라자)",37.13182442,126.9216174,true,true,11시간,1,2,1,false,false,2024-01-29
pd-3943,태성프라자,"경기도 화성시 만세구 향남읍 발안로 107 (행정리, 태성프라자)",37.13172325,126.9223841,true,true,11시간,1,2,1,false,false,2024-01-29
pd-3944,중앙프라자,"경기도 화성시 만세구 향남읍 발안로 116 (행정리, 중앙프라자)",37.13103398,126.9228891,false,true,11시간,2,2,3,false,false,2024-01-29
pd-3945,향남신도시주유소,경기도 화성시 만세구 향남읍 발안로 199 (도이리),37.13070199,126.932021,false,true,11시간,1,2,1,false,false,2024-01-29
pd-3946,맑은물사업소 3,경기도 화성시 만세구 향남읍 발안로 527 (송곡리),37.13084932,126.9649265,false,true,11시간,0,0,2,false,false,2024-01-29
pd-3947,맑은물사업소 2,경기도 화성시 만세구 향남읍 발안로 527 (송곡리),37.13084932,126.9649265,false,true,11시간,3,3,2,false,true,2024-01-29
pd-3948,맑은물사업소 1,경기도 화성시 만세구 향남읍 발안로 527 (송곡리),37.13084932,126.9649265,false,true,11시간,2,2,3,false,true,2024-01-29
pd-3949,황금주유소,경기도 화성시 만세구 향남읍 발안로 605-1 (송곡리),37.12694842,126.9712479,false,true,11시간,1,0,1,false,false,2024-01-29
pd-3950,향남읍사무소,경기도 화성시 만세구 향남읍 발안로 89,37.13243454,126.920337,false,true,11시간,2,2,2,false,false,2024-01-29
pd-3951,남양1호 근린공원,경기도 화성시 만세구 남양읍 남양리 2038,37.20546775,126.8290974,false,true,24시간,1,1,3,false,true,2024-01-29
pd-3952,남양3호 근린공원,경기도 화성시 만세구 남양읍 남양리 2060,37.20207662,126.8306141,false,true,24시간,1,1,2,false,true,2024-01-29
pd-3953,남양빌딩,경기도 화성시 만세구 남양읍 남양성지로 135 (남양리),37.20889985,126.8180941,false,true,24시간,2,2,2,false,false,2024-01-29
pd-3954,남양읍사무소,"경기도 화성시 만세구 남양읍 남양성지로 192-5 (남양리, 남양읍사무소)",37.21175868,126.8237728,false,true,24시간,2,2,2,false,false,2024-01-29
pd-3955,남양재래시장 공영주차장,경기도 화성시 만세구 남양읍 남양시장로55번길 16,37.2094346,126.8165987,false,true,24시간,3,3,3,false,false,2024-01-29
pd-3956,남양시장 공중화장실,경기도 화성시 만세구 남양읍 남양시장로55번길 8,37.20939869,126.8157092,false,true,24시간,2,3,5,false,false,2024-01-29
pd-3957,한국프라자1동,경기도 화성시 만세구 남양읍 시청로 109 (남양리),37.20115496,126.8257958,false,true,24시간,2,2,2,false,false,2024-01-29
pd-3958,행정타운오일뱅크,경기도 화성시 만세구 남양읍 시청로 275 (무송리),37.19252955,126.8393214,false,true,24시간,1,2,2,false,false,2024-01-29
pd-3959,남양2 체육공원,경기도 화성시 만세구 남양읍 시청로 45번길 95,37.20997401,126.8264479,true,true,24시간,3,3,6,false,true,2024-01-29
pd-3960,씨제이대한통운(주)힘찬주유소,경기도 화성시 만세구 남양읍 온석길 15-2 (온석리),37.16632534,126.8494387,false,true,24시간,1,1,2,false,false,2024-01-29
pd-3961,대동에너지친절한주유소(주),경기도 화성시 만세구 남양읍 주석로 304 (북양리),37.20705105,126.8602784,false,true,24시간,1,1,2,false,false,2024-01-29
pd-3962,하이테크에너지(주) 화성하이테크주유소,경기도 화성시 만세구 남양읍 주석로 353 (북양리),37.20437003,126.8644755,false,true,24시간,1,1,2,false,false,2024-01-29
pd-3963,남양타운주유소,경기도 화성시 만세구 남양읍 주석로 54 (북양리),37.21726848,126.8379063,false,true,24시간,2,2,4,false,false,2024-01-29
pd-3964,조암충전소,경기도 화성시 만세구 우정읍 호곡길 84 (호곡리),37.1200702,126.7859198,false,true,24시간,1,0,1,false,false,2024-01-29
pd-3965,우정보건지소,"경기도 화성시 만세구 우정읍 화수동길 163 (화수리, 우정보건소)",37.10912175,126.7991904,false,true,24시간,2,2,3,false,false,2024-01-29
pd-3966,(주)금산주유소,경기도 화성시 만세구 장안면 3.1만세로 501 (수촌리),37.10311073,126.8575494,false,true,24시간,1,2,1,false,false,2024-01-29
pd-3967,메인프라자 2,"경기도 화성시 병점구 효행로 1051 (진안동, 메인프라자)",37.2146321,127.0419762,true,true,11시간,4,4,48,false,true,2024-01-29
